,Store,regions_observed,mapped_region
861484,375,"BW, BY, BE, HB, HH, HE, NI, MV, RP, SL, SN, ST, SH, TH, NW",ST
861490,381,"BW, BY, BE, HB, HH, HE, NI, MV, RP, SL, SN, ST, SH, TH, NW",ST
861491,382,"BW, BY, BE, HB, HH, HE, NI, MV, RP, SL, SN, ST, SH, TH, NW",ST
861505,396,"BW, BY, BE, HB, HH, HE, NI, MV, RP, SL, SN, ST, SH, TH, NW",ST
861511,402,"BW, BY, BE, HB, HH, HE, NI, MV, RP, SL, SN, ST, SH, TH, NW",ST
861563,454,"BW, BY, BE, HB, HH, HE, NI, MV, RP, SL, SN, ST, SH, TH, NW",ST
861569,460,"BW, BY, BE, HB, HH, HE, NI, MV, RP, SL, SN, ST, SH, TH, NW",ST
861571,462,"BW, BY, BE, HB, HH, HE, NI, MV, RP, SL, SN, ST, SH, TH, NW",ST
861588,479,"BW, BY, BE, HB, HH, HE, NI, MV, RP, SL, SN, ST, SH, TH, NW",ST
861591,482,"BW, BY, BE, HB, HH, HE, NI, MV, RP, SL, SN, ST, SH, TH, NW",ST
861592,483,"BW, BY, BE, HB, HH, HE, NI, MV, RP, SL, SN, ST, SH, TH, NW",ST
861598,489,"BW, BY, BE, HB, HH, HE, NI, MV, RP, SL, SN, ST, SH, TH, NW",ST
861612,503,"BW, BY, BE, HB, HH, HE, NI, MV, RP, SL, SN, ST, SH, TH, NW",ST
861668,559,"BW, BY, BE, HB, HH, HE, NI, MV, RP, SL, SN, ST, SH, TH, NW",ST
861692,583,"BW, BY, BE, HB, HH, HE, NI, MV, RP, SL, SN, ST, SH, TH, NW",ST
861717,608,"BW, BY, BE, HB, HH, HE, NI, MV, RP, SL, SN, ST, SH, TH, NW",ST
861744,635,"BW, BY, BE, HB, HH, HE, NI, MV, RP, SL, SN, ST, SH, TH, NW",ST
861758,649,"BW, BY, BE, HB, HH, HE, NI, MV, RP, SL, SN, ST, SH, TH, NW",ST
861773,664,"BW, BY, BE, HB, HH, HE, NI, MV, RP, SL, SN, ST, SH, TH, NW",ST
861797,688,"BW, BY, BE, HB, HH, HE, NI, MV, RP, SL, SN, ST, SH, TH, NW",ST
861824,715,"BW, BY, BE, HB, HH, HE, NI, MV, RP, SL, SN, ST, SH, TH, NW",ST
861844,735,"BW, BY, BE, HB, HH, HE, NI, MV, RP, SL, SN, ST, SH, TH, NW",ST
861856,747,"BW, BY, BE, HB, HH, HE, NI, MV, RP, SL, SN, ST, SH, TH, NW",ST
861890,781,"BW, BY, BE, HB, HH, HE, NI, MV, RP, SL, SN, ST, SH, TH, NW",ST
861895,786,"BW, BY, BE, HB, HH, HE, NI, MV, RP, SL, SN, ST, SH, TH, NW",ST
861937,828,"BW, BY, BE, HB, HH, HE, NI, MV, RP, SL, SN, ST, SH, TH, NW",ST
861985,876,"BW, BY, BE, HB, HH, HE, NI, MV, RP, SL, SN, ST, SH, TH, NW",ST
861987,878,"BW, BY, BE, HB, HH, HE, NI, MV, RP, SL, SN, ST, SH, TH, NW",ST
861998,889,"BW, BY, BE, HB, HH, HE, NI, MV, RP, SL, SN, ST, SH, TH, NW",ST
862019,910,"BW, BY, BE, HB, HH, HE, NI, MV, RP, SL, SN, ST, SH, TH, NW",ST
862081,972,"BW, BY, BE, HB, HH, HE, NI, MV, RP, SL, SN, ST, SH, TH, NW",ST
862090,981,"BW, BY, BE, HB, HH, HE, NI, MV, RP, SL, SN, ST, SH, TH, NW",ST
862115,1006,"BW, BY, BE, HB, HH, HE, NI, MV, RP, SL, SN, ST, SH, TH, NW",ST
862138,1029,"BW, BY, BE, HB, HH, HE, NI, MV, RP, SL, SN, ST, SH, TH, NW",ST
862139,1030,"BW, BY, BE, HB, HH, HE, NI, MV, RP, SL, SN, ST, SH, TH, NW",ST
862141,1032,"BW, BY, BE, HB, HH, HE, NI, MV, RP, SL, SN, ST, SH, TH, NW",ST
862152,1043,"BW, BY, BE, HB, HH, HE, NI, MV, RP, SL, SN, ST, SH, TH, NW",ST
862155,1046,"BW, BY, BE, HB, HH, HE, NI, MV, RP, SL, SN, ST, SH, TH, NW",ST
63570,16,"BW, BY, HE, NW, RP, SL",BW
63575,21,"BW, BY, HE, NW, RP, SL",BW
63603,49,"BW, BY, HE, NW, RP, SL",BW
63615,61,"BW, BY, HE, NW, RP, SL",BW
63620,66,"BW, BY, HE, NW, RP, SL",BW
63621,67,"BW, BY, HE, NW, RP, SL",BW
63633,79,"BW, BY, HE, NW, RP, SL",BW
63645,91,"BW, BY, HE, NW, RP, SL",BW
63659,105,"BW, BY, HE, NW, RP, SL",BW
63695,141,"BW, BY, HE, NW, RP, SL",BW
63722,168,"BW, BY, HE, NW, RP, SL",BW
63747,193,"BW, BY, HE, NW, RP, SL",BW
63748,194,"BW, BY, HE, NW, RP, SL",BW
63778,224,"BW, BY, HE, NW, RP, SL",BW
63834,280,"BW, BY, HE, NW, RP, SL",BW
63849,295,"BW, BY, HE, NW, RP, SL",BW
63851,297,"BW, BY, HE, NW, RP, SL",BW
63901,347,"BW, BY, HE, NW, RP, SL",BW
63907,353,"BW, BY, HE, NW, RP, SL",BW
63910,356,"BW, BY, HE, NW, RP, SL",BW
63922,368,"BW, BY, HE, NW, RP, SL",BW
63927,373,"BW, BY, HE, NW, RP, SL",BW
63958,404,"BW, BY, HE, NW, RP, SL",BW
63962,408,"BW, BY, HE, NW, RP, SL",BW
63994,440,"BW, BY, HE, NW, RP, SL",BW
63996,442,"BW, BY, HE, NW, RP, SL",BW
64004,450,"BW, BY, HE, NW, RP, SL",BW
64009,455,"BW, BY, HE, NW, RP, SL",BW
64015,461,"BW, BY, HE, NW, RP, SL",BW
64045,491,"BW, BY, HE, NW, RP, SL",BW
64049,495,"BW, BY, HE, NW, RP, SL",BW
64053,499,"BW, BY, HE, NW, RP, SL",BW
64059,505,"BW, BY, HE, NW, RP, SL",BW
64087,533,"BW, BY, HE, NW, RP, SL",BW
64091,537,"BW, BY, HE, NW, RP, SL",BW
64107,553,"BW, BY, HE, NW, RP, SL",BW
64128,574,"BW, BY, HE, NW, RP, SL",BW
64144,590,"BW, BY, HE, NW, RP, SL",BW
64145,591,"BW, BY, HE, NW, RP, SL",BW
64157,603,"BW, BY, HE, NW, RP, SL",BW
64159,605,"BW, BY, HE, NW, RP, SL",BW
64199,645,"BW, BY, HE, NW, RP, SL",BW
64217,663,"BW, BY, HE, NW, RP, SL",BW
64220,666,"BW, BY, HE, NW, RP, SL",BW
64227,673,"BW, BY, HE, NW, RP, SL",BW
64268,714,"BW, BY, HE, NW, RP, SL",BW
64282,728,"BW, BY, HE, NW, RP, SL",BW
64311,757,"BW, BY, HE, NW, RP, SL",BW
64312,758,"BW, BY, HE, NW, RP, SL",BW
64316,762,"BW, BY, HE, NW, RP, SL",BW
64319,765,"BW, BY, HE, NW, RP, SL",BW
64331,777,"BW, BY, HE, NW, RP, SL",BW
64343,789,"BW, BY, HE, NW, RP, SL",BW
64367,813,"BW, BY, HE, NW, RP, SL",BW
64402,848,"BW, BY, HE, NW, RP, SL",BW
64407,853,"BW, BY, HE, NW, RP, SL",BW
64409,855,"BW, BY, HE, NW, RP, SL",BW
64418,864,"BW, BY, HE, NW, RP, SL",BW
64434,880,"BW, BY, HE, NW, RP, SL",BW
64449,895,"BW, BY, HE, NW, RP, SL",BW
64479,925,"BW, BY, HE, NW, RP, SL",BW
64501,947,"BW, BY, HE, NW, RP, SL",BW
64502,948,"BW, BY, HE, NW, RP, SL",BW
64504,950,"BW, BY, HE, NW, RP, SL",BW
64518,964,"BW, BY, HE, NW, RP, SL",BW
64523,969,"BW, BY, HE, NW, RP, SL",BW
64539,985,"BW, BY, HE, NW, RP, SL",BW
64552,998,"BW, BY, HE, NW, RP, SL",BW
64598,1044,"BW, BY, HE, NW, RP, SL",BW
64605,1051,"BW, BY, HE, NW, RP, SL",BW
64615,1061,"BW, BY, HE, NW, RP, SL",BW
64622,1068,"BW, BY, HE, NW, RP, SL",BW
64632,1078,"BW, BY, HE, NW, RP, SL",BW
229705,16,"BW, BY, ST",BW
229710,21,"BW, BY, ST",BW
229738,49,"BW, BY, ST",BW
229750,61,"BW, BY, ST",BW
229755,66,"BW, BY, ST",BW
229756,67,"BW, BY, ST",BW
229768,79,"BW, BY, ST",BW
229780,91,"BW, BY, ST",BW
229794,105,"BW, BY, ST",BW
229830,141,"BW, BY, ST",BW
229857,168,"BW, BY, ST",BW
229882,193,"BW, BY, ST",BW
229883,194,"BW, BY, ST",BW
229913,224,"BW, BY, ST",BW
229969,280,"BW, BY, ST",BW
229984,295,"BW, BY, ST",BW
229986,297,"BW, BY, ST",BW
230036,347,"BW, BY, ST",BW
230042,353,"BW, BY, ST",BW
230045,356,"BW, BY, ST",BW
230057,368,"BW, BY, ST",BW
230062,373,"BW, BY, ST",BW
230093,404,"BW, BY, ST",BW
230097,408,"BW, BY, ST",BW
230129,440,"BW, BY, ST",BW
230131,442,"BW, BY, ST",BW
230139,450,"BW, BY, ST",BW
230144,455,"BW, BY, ST",BW
230150,461,"BW, BY, ST",BW
230180,491,"BW, BY, ST",BW
230184,495,"BW, BY, ST",BW
230188,499,"BW, BY, ST",BW
230194,505,"BW, BY, ST",BW
230222,533,"BW, BY, ST",BW
230226,537,"BW, BY, ST",BW
230242,553,"BW, BY, ST",BW
230263,574,"BW, BY, ST",BW
230279,590,"BW, BY, ST",BW
230280,591,"BW, BY, ST",BW
230292,603,"BW, BY, ST",BW
230294,605,"BW, BY, ST",BW
230334,645,"BW, BY, ST",BW
230352,663,"BW, BY, ST",BW
230355,666,"BW, BY, ST",BW
230362,673,"BW, BY, ST",BW
230403,714,"BW, BY, ST",BW
230417,728,"BW, BY, ST",BW
230446,757,"BW, BY, ST",BW
230447,758,"BW, BY, ST",BW
230451,762,"BW, BY, ST",BW
230454,765,"BW, BY, ST",BW
230466,777,"BW, BY, ST",BW
230478,789,"BW, BY, ST",BW
230502,813,"BW, BY, ST",BW
230537,848,"BW, BY, ST",BW
230542,853,"BW, BY, ST",BW
230544,855,"BW, BY, ST",BW
230553,864,"BW, BY, ST",BW
230569,880,"BW, BY, ST",BW
230584,895,"BW, BY, ST",BW
230614,925,"BW, BY, ST",BW
230636,947,"BW, BY, ST",BW
230637,948,"BW, BY, ST",BW
230639,950,"BW, BY, ST",BW
230653,964,"BW, BY, ST",BW
230658,969,"BW, BY, ST",BW
230674,985,"BW, BY, ST",BW
230687,998,"BW, BY, ST",BW
230733,1044,"BW, BY, ST",BW
230740,1051,"BW, BY, ST",BW
230750,1061,"BW, BY, ST",BW
230757,1068,"BW, BY, ST",BW
230767,1078,"BW, BY, ST",BW
292494,16,"BW, BY, NW, RP, SL",BW
292498,21,"BW, BY, NW, RP, SL",BW
292521,49,"BW, BY, NW, RP, SL",BW
292530,61,"BW, BY, NW, RP, SL",BW
292535,66,"BW, BY, NW, RP, SL",BW
292536,67,"BW, BY, NW, RP, SL",BW
292546,79,"BW, BY, NW, RP, SL",BW
292556,91,"BW, BY, NW, RP, SL",BW
292568,105,"BW, BY, NW, RP, SL",BW
292595,141,"BW, BY, NW, RP, SL",BW
292615,168,"BW, BY, NW, RP, SL",BW
292632,193,"BW, BY, NW, RP, SL",BW
292633,194,"BW, BY, NW, RP, SL",BW
292660,224,"BW, BY, NW, RP, SL",BW
292709,280,"BW, BY, NW, RP, SL",BW
292720,295,"BW, BY, NW, RP, SL",BW
292722,297,"BW, BY, NW, RP, SL",BW
292767,347,"BW, BY, NW, RP, SL",BW
292772,353,"BW, BY, NW, RP, SL",BW
292775,356,"BW, BY, NW, RP, SL",BW
292786,368,"BW, BY, NW, RP, SL",BW
292791,373,"BW, BY, NW, RP, SL",BW
292820,404,"BW, BY, NW, RP, SL",BW
292823,408,"BW, BY, NW, RP, SL",BW
292847,440,"BW, BY, NW, RP, SL",BW
292849,442,"BW, BY, NW, RP, SL",BW
292857,450,"BW, BY, NW, RP, SL",BW
292862,455,"BW, BY, NW, RP, SL",BW
292867,461,"BW, BY, NW, RP, SL",BW
292893,491,"BW, BY, NW, RP, SL",BW
292896,495,"BW, BY, NW, RP, SL",BW
292899,499,"BW, BY, NW, RP, SL",BW
292903,505,"BW, BY, NW, RP, SL",BW
292927,533,"BW, BY, NW, RP, SL",BW
292930,537,"BW, BY, NW, RP, SL",BW
292942,553,"BW, BY, NW, RP, SL",BW
292960,574,"BW, BY, NW, RP, SL",BW
292974,590,"BW, BY, NW, RP, SL",BW
292975,591,"BW, BY, NW, RP, SL",BW
292986,603,"BW, BY, NW, RP, SL",BW
292987,605,"BW, BY, NW, RP, SL",BW
293017,645,"BW, BY, NW, RP, SL",BW
293032,663,"BW, BY, NW, RP, SL",BW
293035,666,"BW, BY, NW, RP, SL",BW
293039,673,"BW, BY, NW, RP, SL",BW
293071,714,"BW, BY, NW, RP, SL",BW
293083,728,"BW, BY, NW, RP, SL",BW
293108,757,"BW, BY, NW, RP, SL",BW
293109,758,"BW, BY, NW, RP, SL",BW
293113,762,"BW, BY, NW, RP, SL",BW
293116,765,"BW, BY, NW, RP, SL",BW
293125,777,"BW, BY, NW, RP, SL",BW
293136,789,"BW, BY, NW, RP, SL",BW
293156,813,"BW, BY, NW, RP, SL",BW
293187,848,"BW, BY, NW, RP, SL",BW
293191,853,"BW, BY, NW, RP, SL",BW
293193,855,"BW, BY, NW, RP, SL",BW
293200,864,"BW, BY, NW, RP, SL",BW
293215,880,"BW, BY, NW, RP, SL",BW
293227,895,"BW, BY, NW, RP, SL",BW
293249,925,"BW, BY, NW, RP, SL",BW
293269,947,"BW, BY, NW, RP, SL",BW
293270,948,"BW, BY, NW, RP, SL",BW
293272,950,"BW, BY, NW, RP, SL",BW
293285,964,"BW, BY, NW, RP, SL",BW
293290,969,"BW, BY, NW, RP, SL",BW
293304,985,"BW, BY, NW, RP, SL",BW
293316,998,"BW, BY, NW, RP, SL",BW
293354,1044,"BW, BY, NW, RP, SL",BW
293360,1051,"BW, BY, NW, RP, SL",BW
293369,1061,"BW, BY, NW, RP, SL",BW
293374,1068,"BW, BY, NW, RP, SL",BW
293384,1078,"BW, BY, NW, RP, SL",BW
63567,13,"BW, BY, HE, NW, RP, SL",BY
63574,20,"BW, BY, HE, NW, RP, SL",BY
63576,22,"BW, BY, HE, NW, RP, SL",BY
63586,32,"BW, BY, HE, NW, RP, SL",BY
63590,36,"BW, BY, HE, NW, RP, SL",BY
63595,41,"BW, BY, HE, NW, RP, SL",BY
63600,46,"BW, BY, HE, NW, RP, SL",BY
63605,51,"BW, BY, HE, NW, RP, SL",BY
63606,52,"BW, BY, HE, NW, RP, SL",BY
63612,58,"BW, BY, HE, NW, RP, SL",BY
63626,72,"BW, BY, HE, NW, RP, SL",BY
63630,76,"BW, BY, HE, NW, RP, SL",BY
63635,81,"BW, BY, HE, NW, RP, SL",BY
63643,89,"BW, BY, HE, NW, RP, SL",BY
63653,99,"BW, BY, HE, NW, RP, SL",BY
63654,100,"BW, BY, HE, NW, RP, SL",BY
63662,108,"BW, BY, HE, NW, RP, SL",BY
63667,113,"BW, BY, HE, NW, RP, SL",BY
63669,115,"BW, BY, HE, NW, RP, SL",BY
63681,127,"BW, BY, HE, NW, RP, SL",BY
63683,129,"BW, BY, HE, NW, RP, SL",BY
63686,132,"BW, BY, HE, NW, RP, SL",BY
63690,136,"BW, BY, HE, NW, RP, SL",BY
63691,137,"BW, BY, HE, NW, RP, SL",BY
63693,139,"BW, BY, HE, NW, RP, SL",BY
63698,144,"BW, BY, HE, NW, RP, SL",BY
63699,145,"BW, BY, HE, NW, RP, SL",BY
63703,149,"BW, BY, HE, NW, RP, SL",BY
63709,155,"BW, BY, HE, NW, RP, SL",BY
63713,159,"BW, BY, HE, NW, RP, SL",BY
63718,164,"BW, BY, HE, NW, RP, SL",BY
63719,165,"BW, BY, HE, NW, RP, SL",BY
63726,172,"BW, BY, HE, NW, RP, SL",BY
63728,174,"BW, BY, HE, NW, RP, SL",BY
63735,181,"BW, BY, HE, NW, RP, SL",BY
63737,183,"BW, BY, HE, NW, RP, SL",BY
63740,186,"BW, BY, HE, NW, RP, SL",BY
63744,190,"BW, BY, HE, NW, RP, SL",BY
63745,191,"BW, BY, HE, NW, RP, SL",BY
63746,192,"BW, BY, HE, NW, RP, SL",BY
63758,204,"BW, BY, HE, NW, RP, SL",BY
63769,215,"BW, BY, HE, NW, RP, SL",BY
63772,218,"BW, BY, HE, NW, RP, SL",BY
63785,231,"BW, BY, HE, NW, RP, SL",BY
63797,243,"BW, BY, HE, NW, RP, SL",BY
63812,258,"BW, BY, HE, NW, RP, SL",BY
63817,263,"BW, BY, HE, NW, RP, SL",BY
63829,275,"BW, BY, HE, NW, RP, SL",BY
63831,277,"BW, BY, HE, NW, RP, SL",BY
63833,279,"BW, BY, HE, NW, RP, SL",BY
63837,283,"BW, BY, HE, NW, RP, SL",BY
63838,284,"BW, BY, HE, NW, RP, SL",BY
63841,287,"BW, BY, HE, NW, RP, SL",BY
63842,288,"BW, BY, HE, NW, RP, SL",BY
63852,298,"BW, BY, HE, NW, RP, SL",BY
63860,306,"BW, BY, HE, NW, RP, SL",BY
63871,317,"BW, BY, HE, NW, RP, SL",BY
63896,342,"BW, BY, HE, NW, RP, SL",BY
63899,345,"BW, BY, HE, NW, RP, SL",BY
63902,348,"BW, BY, HE, NW, RP, SL",BY
63919,365,"BW, BY, HE, NW, RP, SL",BY
63939,385,"BW, BY, HE, NW, RP, SL",BY
63953,399,"BW, BY, HE, NW, RP, SL",BY
63961,407,"BW, BY, HE, NW, RP, SL",BY
63966,412,"BW, BY, HE, NW, RP, SL",BY
63967,413,"BW, BY, HE, NW, RP, SL",BY
63974,420,"BW, BY, HE, NW, RP, SL",BY
63981,427,"BW, BY, HE, NW, RP, SL",BY
63982,428,"BW, BY, HE, NW, RP, SL",BY
63983,429,"BW, BY, HE, NW, RP, SL",BY
63984,430,"BW, BY, HE, NW, RP, SL",BY
63988,434,"BW, BY, HE, NW, RP, SL",BY
64011,457,"BW, BY, HE, NW, RP, SL",BY
64025,471,"BW, BY, HE, NW, RP, SL",BY
